author_name,coauthor_name
Pol AntrÃ s,Adam Osman
Colleen Carey,A Katsambas
Enrico Moretti,A Pfaffb
Bruno Strulovici,A Gafni
Anne-Celia Disdier,A Chakrabarti
Antoine Mandel,A Chassagnon
Maarten Bosker,AR Rubin
Zhijun Chen,Akira Goto
Florian SchÃ¼tt,A Russell Stevenson
Juan Carlos Escanciano,AK Achleitner
Alan B. Krueger,A Alessina
Nathan Nunn,Abhijit Ghosh
Xiaxin Wang,Akash Shah
Aleh Tsyvinski,A Arora
Shuanming Li,Adriana Kugler
Motty Perry,Abe De Jong
Andreas Steinmayr,A Bloom
Jean Imbs,AC Disdier
Philip Haile,Adam J Dutton
Manuelita Ureta,ARNOLD C HARBERGER
Christian Brownlees,A Hofman
Oriana Bandiera,Abram L Harris
Robert Dixon,Adeline Delavande
Matthias Meier,Aaron Lee
Christopher Skeels,A Jones-Rooy
Bernd Irlenbusch,A Fenster
Libertad GonzÃ¡lez,ANHANGâ€“Grafische Darstellungen
