author_name,coauthor_name
Thomas Lyons,AgustÃ­n S BÃ©nÃ©trix
Frank Schorfheide,A Sapir
Sharat Ganapati,Adriana Breaban
Michael Waldman,Abdallah S Daar
Simon Gaechter,Adriana Valcu
Davide Debortoli,A Mas
Smita Brunnermeier,Adrien Blanchet
Mingli Chen,Abdul Malek
William Easterly,Aiyesha Dey
Todd B. Walker,Ahmed Mushfiq
Mark Rosenzweig,ASP Pfaff
John Hoddinott,AH Kleinknecht
Soheil Ghili,Adrien Matray
Nisvan Erkal,Abigail Hohner
Jenny Lye,AD Brandon
Bulent Guler,A Galasso
Wong Wei Kang,Ajay Mahal
Christopher Foote,A Jeffrey
Alan V. Deardorff,A Angelsen
Mark Duggan,ASGER Lunde
Mallika Thomas,AR Yang
John Kennan,AH Welsh
Guillaume FrÃ©chette,A TrzciÅ„ska
Uta Schoenberg,Ai Han
Sumit Agarwal,Agnes FlÃ¶el
Liang Choon Wang,ANGELA L BAILEY
Christian Seel,A Hughes
Ahmad Lashkaripour,A Akhmanova
Marco Del Negro,AS Belenky
Greg Kaplan,A Tektas
Ivo Arnold,AA Linda
Burak Uras,A Galatoire
Davin Chor,A Mas-Colell
Olav Sorenson,Abigail M Cooke
Heidi Williams,A Villareal
Flavio Toxvaerd,A Rudra
Rodrigo Soares,Aditya K Ghose
David Dorn,A Ludwig
Danilo Guaitoli,A Lemma
Sanjay Jain,Adrian D Pantoja
Jushan Bai,AK Pan
Felix Tintelnot,A Roth
Juan Carlos Suarez Serrato,AK Agarwal
Siew Ling Yew,Adriana M Valcu
David Harvey,A LÃ³pez-Pena
Thomas Martin,AgÃ©nor Lahatte
Zack Cooper,Akiko Watanabe
Xavier Ramos,Ajin Lee
David Schindler,A Marcet
William R. Zame,Ajay Agrawal
Andrew Atkeson,A Bramson
Ben Lockwood,A Dutta
John Laitner,AH van Zon
Krislert Samphantharak,AM Montoya
Yuzhe Zhang,Akiko Suwa Eisenmann
Thomas Hoe,AgustÃ­n Cue Mancera
Christoph Rosenkranz,A Ismariah
Alessandro Pavan,A Atila
Pedro Carneiro,Adam Bingaman
Raffealla Giacomini,Adam S Chilton
David Blau,A Llena-Nozal
Niklas Potrafke,Abid Qamar
Jean-Marc Robin,AC Hallet
Ivan Fernandez-Val,AA Duraiswamy
Duncan Thomas,A Nelen
Pok-Sang Lam,Adam O Goldstein
Ludger Woessmann,AR Cardoso
Heng Liu,A Wee
Ben Handel,A Dupuy
Vai-Lam Mui,Ai-jun LIAO
Byoung-Hyoun Hwang,A Galichon
AndrÃ© Marchand,A Calin
Sun Yeneng,Agnes Koschmider
Peter Morrow,Adam Dominiak
Erzo Luttmer,A Raghavan
Pascaline Dupas,Achyuta Adhvaryu
Jeffrey Lewis,AC Stockman
Alberto Bisin,A Araar
Xiao Yu Wang,Ajit Sinha
Eli Berman,A Ozdaglar
Victor Lavy,Aidan Vining
Galina Hale,A Sen
Robert Dixon,Adeline Delavande
Sourafel Girma,Adrienne Lynn
Saumitra Jha,Adrian J Neale
Andreas Steinmayr,A Bloom
Nicholas Li,Abhiroop Mukhopadhyay
Nuno Limao,Abigail M Barr
Matthew Turner,Aaron J Le Compte
Howard Forman,A Yu Churyumov
Jeremy Smith,ADAM PREZEWORSKI
Emi Nakamura,A PerellÃ³
Andres Blanco,A Borisov
Christopher Bowdler,A Jamous
GÃ¡bor Lugosi,A Vaidyanathan
Alfredo Di Tillio,A Bastianin
Lutz Kilian,AR Lee
Roberto Weber,Adithya Parthasarathy
Davide Cantoni,A MartÃ­n Zurro
Adrien Verdelhan,A Ahearne
Daron Acemoglu,A Levchenko
Igal Hendel,A van Tilburg
Yong Song,Akie Takeuchi
Ruben Durante,Adreas Lange
Shanjun Li,Adrian Wood*
Neville Francis,Abhijit Vinayak Banerjee
Marco Castillo,AS Ball
Michel Serafinelli,Abdelhak S Senhadji
Pierre-AndrÃ© Chiappori,Adam M Guren
Ivan Png,AA Kromhout
Alberto Salvo,A Ardern-Jones
Jonathan Williams,AJ Naldrett
Roger Farmer,Aditya Shrinivas
Peter C. Reiss,Adam Brumberg
Sydney Ludvigson,Agnieszka Lipiec
JosÃ©-Luis PeydrÃ³,AJG Cairns
Lawrence J. Lau,AN Krueger
Raj Chetty,Adam Sonfield
Kathleen McGarry,ALAN B Krueger
Mar Reguant,ARTHUR HM ter Hofstede
Mikkel Plagborg-Moller,Abdul G Noury
Fabrizio Coricelli,A Riesenfelder
Sergio Parreiras,Adrian Schoo
Hannes Mueller,A Varoudakis
Gita Gopinath,A Swarts
Vincent Sterk,Aik Saw
Filomena Garcia,A Rubinstein
Jeremiah Dittmar,AD Heyding
Johannes Haushofer,AG Atkins
"Anderson, Robert M.",A Bieswanger
Shengxing Zhang,Adriana GalvÃ¡n
Luca Maini,AQ Zhang
Costas Arkolakis,A Kerem CoÅŸar
Monika Schnitzer,Abdullah Algin
Paul A. David,Ada WY Lo
Matthew Wiswall,Aaron J Sojourner
Robert M. Townsend,Adi Shany
Ricardo Lagos,Adamson S Muula
Marc Fischer,ARTHUR REYNOLDS
Filippo Ippolito,A Roy Thurik
Martin Browning,AV Chari
Justin Johnson,AK Roy
Kai A. Konrad,AK Tamang
Adriana Lleras-Muney,A Abulkadiroglu
Omar Licandro,Abraham Jacob
John Freebairn,AH Gelb
Ingmar Prucha,A van der Woude
Sylvain Chassang,Agnieszka Rusinowska
Pete Klenow,Adam Brandenburger
Martin Ravallion,AX Li
Lawrence H. Summers,AN Exton-Smith
James Fenske,AB Deolalikar
Samuel Bazzi,Adriaan van Zon
Rahul Nath,Adam Sacarny
Rodrigo Pinto,Aditya Gopalan
Jonathan Levin,AJ Ivinson
Petra Todd,Adam I Biener
Florian Scheuer,A RupÃ©rez-Micola
Simon Quinn,Adriano Cattaneo
Xi Chen,Ajit Mishra
Melanie Morten,Aaron Smith
Paul Muller,Adam B Ashcraft
Cormac O'Dea,A Katz Case
Petra Persson,Adam Hoffer
Ed Vytlacil,A Nicolo
Donna Gilleskie,A Myrick Freeman III
Ran Spiegler,Adam V Reed
Stephane Villeneuve,Agar Brugiavini
Timo Wollmershauser,Ahmad Peivandi
David Lee,A Malakhov
K. Geert Rouwenhorst,AK Swoboda
Julien Labonne,AK Maity
Chengsi Wang,A Harberger
Philippe Tobler,Adam Looney
Eliana La Ferrara,A Ozler Alesina
John Rust,AI JOSHU
Alexandre Mas,A Banerji
Andrew J. Patton,A Bryson
Kaivan Munshi,AKM Morshed
