author_name,coauthor_name
Giovanni Facchini,A Sumell
Laura Hospido,AM Wagner
David Dickson,A Lovett
Zhang Jie,Akira Fujishima
Keli Xu,ALESSANDRO MISSALE
Carla Haelermans,A Gayoso
Aniko Oery,A Cardoso
Murat Yilmaz,Abebe Hailemariam
Jaai Parasnis,AA Seddique
Pierre-Olivier Weill,Adam M Samaha
Ratbek Dzhumashev,Adam Zewe
Sebastian Sotelo,Adrian MÃ¼ller
Darrell Duffie,A Levenson
Wolf Ketter,Ajay Kolhatkar
Philip Oreopoulos,Adam Kapor
Mostafa Beshkar,Abdur Razzaque Sarker
Moritz Meyer-ter-Vehn,Abdullah Yavas
Daniel R. Vincent,A LahrÃ¨che-RÃ©vil
Leonardo Felli,ANDREW MCCLELLAN
Virgiliu Midrigan,Aila M Matanock
Francesco Daveri,A Sacker
David HÃ©mous,A Maddaloni
James L. Powell,AB Leichtman
Stephen H. Haber,Agata Maida
FlÃ¡vio Cunha,A SCHLEÄ°FER
Sebnem Kalemli-Ozcan,Adrian Peralta-Alva
John Asker,AG Jariwalla
Pierre-Cyrille Hautcoeur,Adam M Lavecchia
Robert Shimer,Adil H Haider
Jona Linde,AJ Brule
Jerome Bolte,ADF Price
Laszlo Konya,AM Taylor
Matthias Doepke,Aaron Jenkins
Antonio Ciccone,A Chrystal
Jordi GalÃ­,AJ O'Malley
Pierre Perron,Adam M Galovan
Omiros Papaspiliopoulos,Abraham M Weisblat
Yuan Ye,Akihisa Kaneko
Terri Kneeland,AgnÃ¨s Couffinhal
Petr Sedlacek,Adam Hersh
Martin Sefton,AZ Li
Gilat Levy,A Stefano Caria
Matthias Kehrig,Aaron Kershenbaum
Mark Hoekstra,ASIM K SEN
John Tang,AI Smith
Graham Elliott,A Tasiron
Pranab K. Bardhan,Adam PRZEWORSKI
Facundo Alvaredo,A Rodger
Yaron Azrieli,Akhter Ahmed
Andrew Harkins,A Brugiavini
Pablo Kurlat,Abubakarr Turay
Gary Gorton,A Seyoum Taffesse
Massimiliano Marcellino,Aamod V Desai
Barton Lipman,A Dixit
Roger Noll,Adolf Buse
Adam Isen,A Abdurazakov
Michael Ward,Abdel Douiri
Arun Chandrasekhar,A Cunat
Dmitry Taubinsky,A Mitchell Polinsky
Giancarlo Corsetti,A Souifi
Josse Delfgaauw,AJ Xie
Robert Porter,Adi Sunderam
Thomas Holmes,AgustÃ­n Rela
Steven Berry,Agne Kluge
James Choi,AB Atkinson
Fernando Luco,A Roy
Steve Leybourne,Agnar Sandmo
Ramon Caminal,Adam Teune Przeworski
Alexey Onatskiy,A Barr
Moritz Kuhn,Abdullah Yava
Bernard SalaniÃ©,A Feest
Stephen P. Kastoryano,Agha Ali Akram
Judy Chevalier,AK Chattopadhyay
James Poterba,AB Sen
Itzik Fadlon,AA Bellack
Patrick Nolen,Ada Ferrerâ€iâ€Carbonell
Bart Verspagen,A Divit
Stephen Machin,Aggregate Dem
Pedro Bento,Adam Biener
Michael Best,Aart de Zeeuw
Amanda Pallais,A Ben Yishay
Tom McCurdy,Ahmed Tahoun
Giammario Impullitti,A Soliz
Heski BarIsaac,A Wickelgren
Han Hong,A Van Geen
Gueorgui Kambourov,A Tiberghien
Lones Smith,ANS Join
Tim Bollerslev,Ahmad Nassr
Philip J. Reny,Adam J Grossberg
Chris Anderson,A Heare
Pascal Lavergne,Achin K Sen
Adam Guren,A Abdulkadiroglu
Alan Gerber,A Ali Daniel
Alicia Adsera,A Basualdo
Esther Duflo,A Rais Shaghaghi
Mohamed Saleh,Abdul Samad Kazi
Lixin Ye,ANS Collaborate
Marija Vukotic,AS Macdonald
Jonathan Meer,AJ Kapteyn
John Davis,AH Abrahamovich
Shruti Sinha,Adriana Kocornik-Mina
Alessandro Lizzeri,A Astrup
Christoph Rothe,A IÅŸÄ±k
Rakesh Vohra,Adam Swift
Melvyn Coles,Aaron Yelowitz
Paul Raschky,Adam B Jaffe
Marianne Baxter,AS Li
Michel MarÃ©chal,Abdelghani Hammadia
Jaume Ventura,AC Bicu
Mark Harrison,ASHTON HAWK
Serguey Braguinsky,Adrian Wilkinson
Toby Moskowitz,Ahmed Mobarak Mushfiq
Andrew Clark,A Brezigar Masten
Ulf ZÃ¶litz,Ahsan Mansur
Tim Besley,Ahmad Lashkaripour
Gary D. Hansen,A Seth
Boris van Leeuwen,A Foster
Randolph Sloof,Adam Wildman
Erte Xiao,A Raffo
Ulrich W. Thonemann,Ahti Salo
Hugo RodrÃ­guez MendizÃ¡bal,A Zarli
Sven Rady,Agnieszka B Bialkowska
John Morgan,AI Bazlov
Emmanuelle Auriol,A Petrin
Lesley J. Turner,ANDREW POSTLEWAITE
Donato Masciandaro,A Mushfiq Mubarak
Martin D. Smith,AV Samsonov
Joseph Steinberg,AJ Smith
Melissa Kearney,Aaron Wildavsky
Aislinn Bohren,A Alberini
James E. Rauch,AB Bugarski
Michael Callen,Abbas Mehrabian
Will Dobbie,Aitor Calo-Blanco
Rachel Kranton,Adam Reich
Sylvain Chabe-Ferret,Agnieszka Markiewicz-Å»uchowska
Zach Brown,Akiko Terada-Hagiwara
Matthew Baron,Aaron Chatterji
Jean-Pierre Danthine,AC Kennedy
stephen.broadberry,Akira Yamada
Harold L. Cole,A Venables
Stephan Lauermann,Afonso S Bevilaqua
Anna Gumpert,A Carruth
Kevin Lee,ALSPAC Study Team
Sophie Moinas,Adrien d'Avernas
Ayushi Bajaj,A Desai
Luca Sala,AR Ballegooij
Alexis Akira Toda,A Bartak
Ahrash Dianat,A AlarcÃ³n
Franck Portier,A Sanchez
Maximilian Kasy,Aaron S Edin
Sheri Markose,Adriana Keating
David Cesarini,A Lourdes Portales
Fabian Waldinger,A Rejoinder
Marcin Peski,AS Arriaga-Salinas
Kaushik Basu,ALBERTO Alesina
Andreas FÃ¼gener,A Blackman
Ulrike Malmendier,Ai Deng
Andreas Leibbrandt,A Blais
Fabien Postel-Vinay,A Riedl
Colin Mayer,A Kasav
Roger Lagunoff,Adnan Q Khan
Eric Smith,A Prat
Kelly Shue,ALESSIA PACCAGNINI
Cecilia Testa,A Gritz
Vincent P. Crawford,Aihua Guo
Irena Grosfeld,A Ã–zlem Ã–nder
Derek A. Neal,A McGhee Smith
Adriano A. Rampini,A Adlina
Philippe Aghion,Adam Leive
Glenn Ellison,A Taffesse
John Vickers,AJ Avery
D. Brounen,A Klemm
John Cawley,AGC van Lomwel
Myrto Kalouptsidi,Abelardo Moralejo
S. Viswanathan,Adriaan Soetevent
Matthew Spiegel,Aaron Hedlund
Marnix Amand,ATLAS Collaboration
Jeffery Smith,AC MasaguÃ©
Damian Kozbur,A Kose
Taisuke Otsu,AgnÃ¨s Arcier
David Margolis,A Malkawi
Silvana Tenreyro,Adriana Menezes
Lex Borghans,ANDREW TAYLOR
Rodrigo Velez,Aditya Kuvalekar
Isabel Schnabel,A-M Marie
Mary Gregory,Aakash Shrivastava
V. V. Chari,Ai-jen Poo
Matthias Lang,Aaron Klein
Lawrence Katz,AN Sen
John Gathergood,AH Helmsing
Shyam Sunder,Adriana Lleras-Muney
Saki Bigio,Adriaan Zon
Xiaohong Chen,Ajoy Kanti Ghosh
Clemens Kool,A Kar
Francesco Caselli,A Sachs
Hugo Hopenhayn,A Zabalza
Jonas Hjort,AJ Castro-Tirado
Jens PrÃ¼fer,AD Egidio dos Reis
Philip Haile,Adam J Dutton
Xueyuan Wu,Akbar Noman
Anmol Ratan,A Carolina Ortega
Gene M. Grossman,A Shevchenko
Gabriel Zucman,A Scoulding
Kevin Sheppard,ALVIN E Roth
Robert Gordon,Adi Brender
Motohiro Yogo,Abdur Rouf Solaiman
Panu Poutvaara,Achim Wambach
Jan Boone,AB Wyss
Boyan Jovanovic,A Fotu
Bernd Irlenbusch,A Fenster
Joel Waldfogel,AF Webster
Roman Liesenfeld,Adolfo Deras QuiÃ±ones
Felipe Valencia Caicedo,A Ronald Gallant
Alan J. Auerbach,A Almeida
Matthias Meier,Aaron Lee
RaÃ¼l SantaeulÃ lia-Llopis,Adam-Teune Przeworski
Johannes Wieland,AG Hart
Carolyn Pitchik,A Giobannini
Morten Ravn,Abdulnaser Alabadi
Sophocles Mavroeidis,Adrienne Lucas
Aureo de Paula,A Dasgupta
Gabriel Felbermayr,A Schotter
William English,Aiyun Meng
David Berger,A Ljungqvist
Julian di Giovanni,AK Kavitha
BjÃ¶rn Bartling,A Flache
Doron Ravid,A Myrick Freeman Iii
Thomas Fujiwara,AgustÃ­n BÃ©nÃ©trix
Fatih Guvenen,A Roell
Lea Ellwardt,ANDREAS Lichter
Eric Gautier,A Porta
Timothy Guinnane,Ahmed Galal
Felix Bierbrauer,A Rosen
Stefan Weiergraeber,Adrita Bhor
Peter Norman,Adam F Scrupski
George A. Akerlof,A Shleifer
Christoph Siemroth,A James Lee
Joseph E. Stiglitz,AJ Samanta
Yongming Hong,Akihiko Matsui
David Autor,A Li
Wouter Den Haan,Ajay Malhotra
Pinelopi Goldberg,Adam Michel
Randall P. Ellis,Adam Wagstaff
Bart Colsteyn,A Disdier
Javier Cravino,AC Case
Toru Kitagawa,Ahmet Ali Taskin
Giovanni (Gianluca) Violante,A Stutzer
Steven Williams,Agnes Binagwaho
Carsten Eckel,A Giovannini
Steffen Huck,Afonso Bevilaqua
Daeha Cho,A Kluge
Simon Alder,Adriana Pereira CAMPOS
Alessandro Bucciol,A Ashraf
Zhongjun Qu,Akira Ishiwatari
Geoffrey Fisher,A Shiau
Timothy Christensen,Ahmed A Al-Ghamdi
Isaac Baley,A Ð¡Ð°Ð·Ðµ
Claudio Mezzetti,A Kantner
Slesh A. Shrestha,Adrien Bilal
Bent Nielsen,A Farago
Graciela Chichilnisky,A Tarozzi
Edouard Schaal,A Nordhaus
Greg Fischer,A Taylor
Jeffrey Sachs,ACM De Bonth
Chao Fu,A Gyorgy
Guido Ascari,A Timmerman
Nikhil Agarwal,Abhishek Sharma
Valentina Bosetti,Ai-qin Qu
Robert Becker,Adele Oliveri
Sriya Iyer,Adrienne Ross
Armin Schmutzler,A Cornelius
Francis Bloch,A Salomons
Markus Eberhardt,AT Kalkura
Andrew Mackenzie,A BrÃº
Fabian Kindermann,A Rebucci
DÃ¡vid KrisztiÃ¡n Nagy,A Newman
Jiwoong Shin,AE Rubin
Ralph Luetticke,Adam Szeidl
Avi Goldfarb,A David
Kyle Woodward,AM Riedl
Arthur Blouin,A Cristea
Ronald D. Lee,Adolfo Figueroa
Anna-Lena Sachs,A Case
